title,link,views,date
Teaching Lily how to play Nasus @Trick Gaming,https://www.youtube.com/watch?v=QU91sow2zR8,173470,"Premiered May 19, 2020"
Making friends in Bronze with Volibear :),https://www.youtube.com/watch?v=Kx9rYFnuM4c,189453,"Premiered May 18, 2020"
Trick2g plays Udyr in Bronze Elo,https://www.youtube.com/watch?v=evLr6bce2ds,226972,"May 17, 2020"
If they steal baron...... I. am. done.,https://www.youtube.com/watch?v=YUlxZEYDPvg,91129,"May 12, 2020"
Trick2g Casts MVP Subwars Showdown!!!!,https://www.youtube.com/watch?v=yszqyXv6xqc,103378,"May 11, 2020"
They call me Maldino,https://www.youtube.com/watch?v=kWsaMX8Zdtw,105930,"May 1, 2020"
Breaching w BREACH (Valorant gameplay) @Trick Gaming,https://www.youtube.com/watch?v=fPItC9r0jBI,20579,"Apr 24, 2020"
"All aboard, all Yuumi mains!",https://www.youtube.com/watch?v=H5ii2nPzaCw,71832,"Apr 21, 2020"
"Even with a cane, I'm still a BEAST",https://www.youtube.com/watch?v=4OYJUDrTu9E,63112,"Apr 12, 2020"
Trick Smash,https://www.youtube.com/watch?v=2HJnKrca-ZE,75039,"Apr 6, 2020"
Will I ever play Animal Crossing?,https://www.youtube.com/watch?v=lzOHHPLfVVE,58415,"Apr 3, 2020"
Why is this even in the game!???????????????????????????????????????,https://www.youtube.com/watch?v=XkzoIXq_H9I,71692,"Mar 28, 2020"
Boomer Warfare.... With the return of Horsey!,https://www.youtube.com/watch?v=hw0kGBCspnQ,74490,"Mar 17, 2020"
We finally Hugged it out....,https://www.youtube.com/watch?v=aVv1JbQlGzk,100676,"Mar 10, 2020"
I wish my champion could do that,https://www.youtube.com/watch?v=JKmk5mlKeJY,127357,"Feb 29, 2020"
What 200 years of experience looks like,https://www.youtube.com/watch?v=ojlm8rGv2mc,140096,"Feb 22, 2020"
I trolled Rick Fox?,https://www.youtube.com/watch?v=SbicEYMNyno,63930,"Feb 14, 2020"
New Jump King Map,https://www.youtube.com/watch?v=LW1rnhtteNQ,80308,"Dec 21, 2019"
We Raised over 30k,https://www.youtube.com/watch?v=_buPnKGJWCw,73149,"Dec 14, 2019"
King,https://www.youtube.com/watch?v=TPRpRdoUKc4,127892,"Dec 9, 2019"
Aphelios,https://www.youtube.com/watch?v=FrJW_Md1X1I,154326,"Dec 3, 2019"
Making Sounds You've Never Heard Before,https://www.youtube.com/watch?v=BkF2PmN8BO8,92959,"Dec 3, 2019"
Finally Not Being a B***** at the Gym!!!! (PLUS Announcement) - Trick2G,https://www.youtube.com/watch?v=oZQZdwQgrx0,40037,"Nov 22, 2019"
Another Day at the Gym With Trick2G,https://www.youtube.com/watch?v=u4A5fo9IcCs,69746,"Nov 21, 2019"
Trick2g's Leg Day with Big Back Mauricio,https://www.youtube.com/watch?v=GW9eL7Pt2WM,49524,"Nov 20, 2019"
My WORST Jumpscare Ever tbh,https://www.youtube.com/watch?v=wRZ3lM266NA,123336,"Nov 18, 2019"
Big Announcement,https://www.youtube.com/watch?v=D7Nb53tiZxc,357466,"Nov 15, 2019"
These Kids Took my damn Candy,https://www.youtube.com/watch?v=eOeTyM1ByvY,106877,"Nov 11, 2019"
Video,https://www.youtube.com/watch?v=maBFoi62h8A,68767,"Nov 4, 2019"
This Silver Nasus somehow knew how to breach HAHA,https://www.youtube.com/watch?v=kavu7dD4DsQ,128080,"Oct 30, 2019"
ROT = forgotten,https://www.youtube.com/watch?v=bStqPAxvwCE,136957,"Oct 24, 2019"
Trick2g's Top Twitch Clips (2017-2019),https://www.youtube.com/watch?v=cwlVyozXLTg,196761,"Oct 23, 2019"
